id;cep;logradouro;complemento;numero;uf;municipio;bairro;latitude;longitude;criado
1;customized Filmes Strategist;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônicos;Avenida Integration;ouro bandwidth-monitored;33750;49377;2021-05-31T15:39:35
2;Ceará Checking next-generation;Response Frango;methodology Lev;Personal copying calculate;Refinado Inteligente;laranja;bypass;75272;80470;2021-05-31T19:27:08
3;petróleo Rio Concreto;SQL visualize;copy;Money backing Pequeno;interactive Rodovia Centralized;Facilitator;Account;79434;96650;2021-05-31T13:55:35
4;RSS Buckinghamshire Pa'anga;discrete transform Applications;Travessa;24/7;embrace Alameda;Salsicha connecting;Avenida bandwidth Crianças;27082;52500;2021-05-31T22:29:14
5;Cadeira Camiseta;Secured Avon cinza;de;monitoring;program;Configurable Fresco;Technician scale bypassing;57267;17165;2021-05-31T23:12:00
6;JSON deposit generating;Fresco Central pixel;Buckinghamshire Technician;transmitting expedite;Concreto ametista Metal;intermediate matrix;bandwidth application Central;73290;73392;2021-05-31T17:12:36
7;Account reboot solid;Internal;Berkshire neural;FTP platforms Ameliorated;digital;Buckinghamshire program;Savings;14792;7506;2021-06-01T09:16:38
8;Genérico;Incrível set;software;transition Bicicleta Calças;Communications;navigate Zimbabwe;solid action-items CSS;28219;19971;2021-05-31T15:49:49
9;quantifying Buckinghamshire HTTP;Account Engineer;5th e-services;index;eyeballs Avon;Eritreia;payment;56303;61118;2021-05-31T17:49:15
10;protocol Interface do;Account;synthesizing relationships;Creative;Travessa;Saúde à Mato;enterprise;55660;29775;2021-06-01T01:56:34
